Desa/Kelurahan,Luas Area,Jarak ke Kecamatan,Akomodasi,Tempat Makan,Fasilitas,Pantai,Harga Tiket,Rating,Wisatawan Mancanegara,Wisatawan Nusantara,Media Sosial,Menara Telepon
Aeng Sareh,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Paseyan,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Panggung,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Baruh,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Taman Sareh,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pakalongan,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Tanggumong,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Kamoning,Sempit,Cukup jauh,Sangat banyak,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banyumas,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangelen,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Tobai Barat,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Tobai Tengah,Luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Tobai Timur,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Sokobanah Laok,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tamberu Laok,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sokobanah Tengah,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sokobanah Daya,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tamberu Timur,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Noreh,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Labuhan,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Taman  ,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sreseh,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Disanah,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Marparan,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Labang,Sempit,Dekat,Sedikit,Banyak Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bundah,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bangsah,Sempit,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Plasah,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Junok,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batorasang,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Karang Anyar,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Samaran,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bringin,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Mambulu Barat,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Barung Gagah,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tambelangan,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Somber,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banjar Billah,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Birem,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Dulang,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Patarongan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangongsean,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Krampon,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Bringin Nonggal,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Torjunan,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Patapan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Jeruk Porot,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kodak,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kanjar,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Kara,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tana Mera,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Olor,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Planggaran Barat,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Planggaran Timur,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tolang,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lar-lar,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tragah,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Nagasareh,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tapaan,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Terosan,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Asem Jaran,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kambang Jeruk,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Morbatoh,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tebanah,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Nepa,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Masaran,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banyuates,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Jatra Timur,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Trapang,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banjar Talela,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Prajjan,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batu Karang,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Dharma Tanjung,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Rabasan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Banjar Tabulu,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Anggersek,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Madupat,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Pamolaan,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Plampaan,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Margantoko,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Asem Nonggal,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Majangan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kalangan Prao,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Asem Raja,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Plakaran,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Buler,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bancelok,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Mlaka,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Jungkarang,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Kotah,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Jrengik,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Taman,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Panyepen,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bluuran,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tlambah,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Gunung Kesan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang penang onjur,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bulmatet,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Poreh,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang penang oloh,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Komis,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banyukapah,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Rabasan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Rahayu,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Muktesareh,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bajrasokah,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Nyeloh,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banjar,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ombul,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pajeruan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kedungdung,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Batu poro barat,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batu poro timur,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Gunung Eleh,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Daleman,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Cukup baik,Sedikit,Murah,4 bintang,Tidak Ada Wisatawan Manca,Banyak Wisatawan Lokal,Cukup sedikit,Cukup sedikit
Pasarenan,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Palenggiyen,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Paopale laok,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bunten Barat,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bunten Timur,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pancor,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Anyar,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
